,Symbol,Contract,Date,Open,High,Low,Close,Volume
366,TX,201604,2016/3/10,8605,8651,8581,8616,7086
370,TX,201603,2016/3/11,8618,8707,8608,8707,255716
374,TX,201604,2016/3/11,8599,8682,8583,8680,10804
378,TX,201603,2016/3/14,8727,8778,8725,8741,200756
383,TX,201604,2016/3/14,8708,8760,8700,8730,20798
387,TX,201603,2016/3/15,8739,8750,8578,8603,308990
392,TX,201604,2016/3/15,8725,8740,8559,8569,63650
397,TX,201603,2016/3/16,8636,8705,8633,8691,124474
401,TX,201604,2016/3/16,8620,8664,8603,8657,128516
407,TX,201604,2016/3/17,8754,8819,8681,8698,330450
412,TX,201605,2016/3/17,8720,8795,8659,8674,2682
418,TX,201604,2016/3/18,8725,8779,8703,8763,249868
421,TX,201605,2016/3/18,8702,8753,8683,8741,1922
426,TX,201604,2016/3/21,8798,8810,8690,8745,236446
429,TX,201605,2016/3/21,8773,8784,8668,8726,1864
433,TX,201604,2016/3/22,8775,8776,8660,8752,290980
438,TX,201605,2016/3/22,8745,8750,8638,8729,3632
442,TX,201604,2016/3/23,8761,8787,8698,8721,274424
443,TX,201605,2016/3/23,8738,8763,8678,8695,2610
447,TX,201604,2016/3/24,8685,8751,8627,8714,303476
451,TX,201605,2016/3/24,8665,8727,8606,8691,3750
455,TX,201604,2016/3/25,8727,8759,8671,8702,212566
460,TX,201605,2016/3/25,8705,8736,8651,8680,3040
464,TX,201604,2016/3/28,8720,8733,8653,8683,216310
468,TX,201605,2016/3/28,8686,8713,8637,8668,3424
472,TX,201604,2016/3/29,8682,8697,8564,8600,315640
477,TX,201605,2016/3/29,8665,8678,8548,8583,5000
481,TX,201604,2016/3/30,8645,8747,8626,8740,296268
484,TX,201605,2016/3/30,8615,8728,8609,8724,6222
489,TX,201604,2016/3/31,8784,8815,8691,8715,332280
491,TX,201605,2016/3/31,8760,8796,8676,8701,6018
495,TX,201604,2016/4/1,8670,8694,8598,8629,312788
498,TX,201605,2016/4/1,8660,8676,8583,8612,4704
502,TX,201604,2016/4/6,8591,8599,8453,8460,311666
507,TX,201605,2016/4/6,8568,8580,8432,8441,5158
511,TX,201604,2016/4/7,8470,8493,8381,8438,305284
514,TX,201605,2016/4/7,8446,8469,8357,8414,4936
519,TX,201604,2016/4/8,8388,8500,8375,8484,282602
523,TX,201605,2016/4/8,8361,8472,8350,8459,5416
528,TX,201604,2016/4/11,8456,8530,8415,8514,261738
532,TX,201605,2016/4/11,8448,8503,8391,8490,6136
538,TX,201604,2016/4/12,8541,8584,8468,8495,295976
543,TX,201605,2016/4/12,8508,8556,8442,8471,7114
547,TX,201604,2016/4/13,8542,8644,8529,8638,290742
551,TX,201605,2016/4/13,8516,8618,8503,8612,13090
555,TX,201604,2016/4/14,8705,8724,8645,8661,237216
559,TX,201605,2016/4/14,8698,8704,8625,8639,9826
563,TX,201604,2016/4/15,8620,8719,8591,8716,266992
566,TX,201605,2016/4/15,8600,8698,8570,8697,15420
570,TX,201604,2016/4/18,8651,8684,8630,8645,192938
574,TX,201605,2016/4/18,8637,8665,8614,8617,23232
579,TX,201604,2016/4/19,8700,8748,8598,8636,286448
584,TX,201605,2016/4/19,8676,8727,8565,8595,68938
588,TX,201604,2016/4/20,8657,8684,8498,8519,206442
592,TX,201605,2016/4/20,8620,8652,8439,8442,187986
598,TX,201605,2016/4/21,8513,8535,8455,8530,243392
601,TX,201606,2016/4/21,8480,8510,8428,8506,3022
607,TX,201605,2016/4/22,8513,8560,8461,8498,300040
610,TX,201606,2016/4/22,8487,8534,8440,8476,3538
615,TX,201605,2016/4/25,8519,8540,8477,8527,197424
618,TX,201606,2016/4/25,8493,8515,8457,8504,3044
623,TX,201605,2016/4/26,8533,8619,8523,8573,271396
625,TX,201606,2016/4/26,8510,8595,8501,8550,5322
629,TX,201605,2016/4/27,8560,8590,8506,8557,233500
631,TX,201606,2016/4/27,8543,8569,8485,8537,4358
635,TX,201605,2016/4/28,8586,8599,8408,8417,379334
