,Symbol,Contract,Con_CP,Con_SP,Date,Time,Open,High,Low,Close,Volume
0,TXO,201603,C,10000,2016-02-01,08:45:00,1,1,0.9,0.9,204.0
1,TXO,201603,C,10000,2016-02-01,08:46:00,0.9,0.9,0.9,0.9,0.0
2,TXO,201603,C,10000,2016-02-01,08:47:00,0.9,0.9,0.9,0.9,0.0
3,TXO,201603,C,10000,2016-02-01,08:48:00,0.9,0.9,0.9,0.9,0.0
4,TXO,201603,C,10000,2016-02-01,08:49:00,0.9,0.9,0.9,0.9,0.0
5,TXO,201603,C,10000,2016-02-01,08:50:00,0.9,0.9,0.9,0.9,0.0
6,TXO,201603,C,10000,2016-02-01,08:51:00,0.9,0.9,0.9,0.9,0.0
7,TXO,201603,C,10000,2016-02-01,08:52:00,0.9,0.9,0.9,0.9,0.0
8,TXO,201603,C,10000,2016-02-01,08:53:00,0.9,0.9,0.9,0.9,0.0
9,TXO,201603,C,10000,2016-02-01,08:54:00,0.9,0.9,0.9,0.9,0.0
10,TXO,201603,C,10000,2016-02-01,08:55:00,0.9,0.9,0.9,0.9,0.0
11,TXO,201603,C,10000,2016-02-01,08:56:00,0.9,0.9,0.9,0.9,10.0
12,TXO,201603,C,10000,2016-02-01,08:57:00,0.9,0.9,0.9,0.9,0.0
13,TXO,201603,C,10000,2016-02-01,08:58:00,0.9,0.9,0.9,0.9,0.0
14,TXO,201603,C,10000,2016-02-01,08:59:00,0.9,0.9,0.9,0.9,4.0
15,TXO,201603,C,10000,2016-02-01,09:00:00,0.9,0.9,0.9,0.9,10.0
16,TXO,201603,C,10000,2016-02-01,09:01:00,0.9,0.9,0.9,0.9,0.0
17,TXO,201603,C,10000,2016-02-01,09:02:00,0.9,0.9,0.9,0.9,0.0
18,TXO,201603,C,10000,2016-02-01,09:03:00,0.9,0.9,0.9,0.9,0.0
19,TXO,201603,C,10000,2016-02-01,09:04:00,0.9,0.9,0.9,0.9,0.0
20,TXO,201603,C,10000,2016-02-01,09:05:00,0.9,0.9,0.9,0.9,0.0
21,TXO,201603,C,10000,2016-02-01,09:06:00,0.9,0.9,0.9,0.9,0.0
22,TXO,201603,C,10000,2016-02-01,09:07:00,0.9,0.9,0.9,0.9,0.0
23,TXO,201603,C,10000,2016-02-01,09:08:00,0.9,0.9,0.9,0.9,0.0
24,TXO,201603,C,10000,2016-02-01,09:09:00,0.9,0.9,0.9,0.9,0.0
25,TXO,201603,C,10000,2016-02-01,09:10:00,0.9,0.9,0.9,0.9,8.0
26,TXO,201603,C,10000,2016-02-01,09:11:00,0.9,0.9,0.9,0.9,0.0
27,TXO,201603,C,10000,2016-02-01,09:12:00,0.9,0.9,0.9,0.9,0.0
28,TXO,201603,C,10000,2016-02-01,09:13:00,0.9,0.9,0.9,0.9,0.0
29,TXO,201603,C,10000,2016-02-01,09:14:00,0.9,0.9,0.9,0.9,0.0
30,TXO,201603,C,10000,2016-02-01,09:15:00,0.9,0.9,0.9,0.9,0.0
31,TXO,201603,C,10000,2016-02-01,09:16:00,0.9,0.9,0.9,0.9,0.0
32,TXO,201603,C,10000,2016-02-01,09:17:00,0.9,0.9,0.9,0.9,2.0
33,TXO,201603,C,10000,2016-02-01,09:18:00,0.9,0.9,0.9,0.9,0.0
34,TXO,201603,C,10000,2016-02-01,09:19:00,0.9,0.9,0.9,0.9,0.0
35,TXO,201603,C,10000,2016-02-01,09:20:00,0.9,0.9,0.9,0.9,0.0
36,TXO,201603,C,10000,2016-02-01,09:21:00,0.9,0.9,0.9,0.9,0.0
37,TXO,201603,C,10000,2016-02-01,09:22:00,0.9,0.9,0.9,0.9,0.0
38,TXO,201603,C,10000,2016-02-01,09:23:00,0.9,0.9,0.9,0.9,62.0
39,TXO,201603,C,10000,2016-02-01,09:24:00,0.9,0.9,0.9,0.9,0.0
40,TXO,201603,C,10000,2016-02-01,09:25:00,0.9,0.9,0.9,0.9,0.0
41,TXO,201603,C,10000,2016-02-01,09:26:00,0.9,0.9,0.9,0.9,0.0
42,TXO,201603,C,10000,2016-02-01,09:27:00,0.9,0.9,0.9,0.9,0.0
43,TXO,201603,C,10000,2016-02-01,09:28:00,0.9,0.9,0.9,0.9,0.0
44,TXO,201603,C,10000,2016-02-01,09:29:00,0.9,0.9,0.9,0.9,0.0
45,TXO,201603,C,10000,2016-02-01,09:30:00,0.9,0.9,0.9,0.9,0.0
46,TXO,201603,C,10000,2016-02-01,09:31:00,0.9,0.9,0.9,0.9,0.0
47,TXO,201603,C,10000,2016-02-01,09:32:00,0.9,0.9,0.9,0.9,0.0
48,TXO,201603,C,10000,2016-02-01,09:33:00,0.9,0.9,0.9,0.9,0.0
